url_length,num_dots,num_hyphens,num_digits,has_at_symbol,has_ip,num_subdomains,entropy,num_forms,num_inputs,has_password,num_iframes,keyword_score,bert_score
10,0,0,0,0,0,-1,2.9219280948873623,0,0,0,0,0,0
17,1,0,0,0,0,0,3.4548223999466066,1,10,0,0,1,0.9726750254631042
19,1,0,0,0,0,0,3.681880802803402,1,4,1,0,0,0.9479897618293762
21,1,0,0,0,0,0,3.916126946588283,1,34,0,0,21,0.9866892695426941
14,1,0,0,0,0,0,3.521640636343319,0,0,0,0,0,0
18,1,0,0,0,0,0,3.5724312513221195,0,1,0,1,0,0.9955310225486755
16,1,0,0,0,0,0,3.452819531114783,1,5,0,0,21,0.9844257831573486
20,1,0,0,0,0,0,3.6841837197791887,2,4,0,0,9,0.9965729713439941
20,1,0,0,0,0,0,3.7841837197791883,0,0,0,0,0,0.8306818008422852
16,1,0,0,0,0,0,3.452819531114783,1,4,1,0,0,0.9479897618293762
17,1,0,0,0,0,0,3.4992275471326932,0,0,0,0,22,0.9870564937591553
19,1,0,0,0,0,0,3.8268748818646365,2,4,0,1,8,0.535440981388092
22,1,0,0,0,0,0,3.732158891364569,1,11,0,0,0,0.9806853532791138
17,1,0,0,0,0,0,3.4992275471326932,1,3,0,0,0,0.9995802044868469
15,1,0,0,0,0,0,3.640223928941851,0,0,0,0,0,0.9361553192138672
16,1,0,0,0,0,0,3.75,2,2,0,0,18,0.9893571734428406
20,1,0,0,0,0,0,3.7841837197791888,0,0,0,0,0,0.9715555906295776
17,1,0,0,0,0,0,3.5724694587701364,5,13,0,0,18,0.7137925624847412
15,1,0,0,0,0,0,3.640223928941851,0,1,0,0,0,0.9920355677604675
22,1,0,0,0,0,0,3.879664004902594,0,0,0,1,7,0.884955644607544
18,1,0,0,0,0,0,3.794653473544342,0,2,0,0,8,0.996586799621582
17,1,0,0,0,0,0,3.4992275471326932,0,0,0,1,16,0.7588232755661011
19,1,0,0,0,0,0,3.2608281712244547,0,0,0,0,6,0.945591926574707
20,1,0,0,0,0,0,3.584183719779189,1,1,0,1,3,0.9970874190330505
18,1,0,0,0,0,0,3.7254805569978675,0,0,0,0,11,0.9990284442901611
15,1,0,0,0,0,0,3.323231428797621,0,1,0,1,0,0.9955310225486755
19,1,0,0,0,0,0,3.6818808028034016,0,0,0,1,0,0.997844934463501
20,1,0,0,0,0,0,3.621928094887362,0,0,0,0,0,0.9994625449180603
17,1,0,0,0,0,0,3.6168746059562227,0,0,0,0,0,0.99415522813797
16,1,0,0,0,0,0,3.625,1,2,0,0,3,0.9928029179573059
16,1,0,0,0,0,0,3.327819531114783,0,0,0,0,1,0.9970671534538269
28,1,0,0,0,0,0,3.994680368408909,1,10,0,0,1,0.9726750254631042
12,1,0,0,0,0,0,3.2516291673878226,0,0,0,0,0,0
14,1,0,0,0,0,0,3.3787834934861767,0,0,0,0,0,0.8928182721138
18,1,0,0,0,0,0,3.5724312513221195,0,0,0,0,1,0.9874910116195679
17,1,0,0,0,0,0,3.2639334294856344,0,1,0,0,20,0.9993674159049988
16,1,0,0,0,0,0,3.452819531114783,2,2,0,0,35,0.9682601690292358
16,1,0,0,0,0,0,3.5,0,0,0,2,19,0.9942613840103149
14,1,0,0,0,0,0,3.182005814760214,0,0,0,0,2,0.9969769716262817
16,1,0,0,0,0,0,3.625,0,0,0,0,0,0
18,1,0,0,0,0,0,3.614369445886757,0,0,0,0,0,0.9733386039733887
14,1,0,0,0,0,0,3.378783493486176,0,10,0,1,24,0.9649853706359863
17,1,0,0,0,0,0,3.572469458770136,0,0,0,0,0,0.5640190243721008
12,1,0,0,0,0,0,3.2516291673878226,0,0,0,0,2,0.9956497550010681
24,1,0,0,0,0,0,3.9182958340544896,0,0,0,0,5,0.9875043034553528
16,1,0,0,0,0,0,3.5,0,1,0,0,3,0.9944485425949097
17,1,0,0,0,0,0,3.4548223999466066,1,5,0,0,0,0.9852656722068787
25,1,1,0,0,0,0,4.163856189774723,0,0,0,0,15,0.5169622302055359
18,1,0,0,0,0,0,3.7254805569978675,7,107,0,1,23,0.992771327495575
16,1,0,0,0,0,0,3.5,1,7,0,1,9,0.8993229866027832
13,1,0,0,0,0,0,3.3927474104487847,0,0,0,0,0,0
13,1,0,0,0,0,0,3.180832987205441,2,10,0,0,22,0.9897437691688538
20,1,0,0,0,0,0,3.721928094887362,1,2,0,0,13,0.9941860437393188
16,1,0,0,0,0,0,3.625,0,2,0,0,16,0.9671725630760193
22,1,0,0,0,0,0,3.845350936622435,0,0,0,0,21,0.99739670753479
27,1,1,0,0,0,0,4.032303242743954,0,0,0,1,7,0.9736121296882629
18,1,0,0,0,0,0,3.7254805569978675,0,0,0,0,1,0.9171059131622314
13,1,0,0,0,0,0,3.3927474104487847,0,0,0,0,0,0.9968133568763733
16,1,0,0,0,0,0,3.577819531114783,1,5,0,0,17,0.9981332421302795
17,1,0,0,0,0,0,3.381580488309164,0,0,0,0,0,0
19,1,0,0,0,0,0,3.5368867237421666,0,0,0,0,2,0.9998511075973511
18,1,0,1,0,0,0,3.794653473544342,0,0,0,0,0,0
16,1,1,0,0,0,0,3.452819531114783,0,0,0,0,19,0.7192879915237427
16,1,0,0,0,0,0,3.375,0,0,0,0,1,0.9971917271614075
